date,top5_realized_return,portfolio_return_after_cost,benchmark_return,equity,benchmark_equity,drawdown
2025-10-02,0.047865288041300594,0.008973057608260119,0.005148737552924751,18387881.8301889,13875877.409509089,0.0
2025-10-03,0.03493701249274137,0.006387402498548275,0.007685492583351654,18505332.632534057,13982520.362427367,0.0
2025-10-06,0.08982282304269677,0.017364564608539357,0.0021425931491753695,18826669.676634207,14012479.214764109,0.0
2025-10-07,0.08306878750447726,0.016013757500895454,0.0021394770689448198,19128155.39938529,14042458.592723165,0.0
2025-10-08,0.06517882106452584,0.01243576421290517,0.0016382072617862162,19366028.62975985,14065463.050363095,0.0
2025-10-09,0.04239305536883087,0.007878611073766174,0.002059296503428606,19518606.03737715,14094428.009241812,0.0
2025-10-10,0.037619414791773796,0.006923882958354759,-0.0006661246168146633,19653750.581090182,14085039.363784933,0.0
2025-10-13,-0.03648628832235192,-0.007897257664470385,-0.011006884098594558,19498539.84867808,13930006.96798361,-0.007897257664470358
2025-10-14,0.028344440455693266,0.005068888091138654,-0.007565585838890446,19597375.765111636,13824618.30453099,-0.002868399888659723
2025-10-15,-0.07184766072179109,-0.014969532144358219,-0.006478357126009771,19304012.21865073,13735057.490023466,-0.01779499342868196
2025-10-16,-0.06337287020500612,-0.013274574041001224,-0.008318563390233317,19047759.67916586,13620801.543624207,-0.030833346511854876
2025-10-17,-0.019578511578956848,-0.0045157023157913695,-0.006115703747316431,18961745.666672014,13537500.756582411,-0.035209814613399004
2025-10-20,-0.0069937246320719735,-0.001998744926414395,0.0022230848568125135,18923845.973724794,13567595.769513458,-0.03713818410149483
2025-10-21,0.013186117658229612,0.002037223531645923,0.004031562210691393,18962398.07805171,13622294.375907766,-0.03517661935242311
2025-10-22,0.03390616185934148,0.006181232371868296,0.004464510718886412,19079609.06690002,13683111.25516483,-0.029212821838828673
2025-10-23,0.04716040347703987,0.008832080695407975,0.004099164997478985,19248121.71381572,13739200.585878614,-0.020638751143241763
2025-10-24,0.030640726086989888,0.005528145217397978,0.0017913360216786633,19354528.125811845,13763812.110797167,-0.015224699939269226
2025-10-27,-0.045701054638341176,-0.009740210927668235,-0.0006024177113069125,19166010.93946095,13755520.546606522,-0.024816619078218527
